Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
1700,80,2,1,1,1231,81,Vila Isabel,Rio de Janeiro,norte
3500,280,3,0,2,200,65,Del Castilho,Rio de Janeiro,norte
2200,53,2,1,1,831,76,Vila Isabel,Rio de Janeiro,norte
1500,114,2,0,1,0,63,Engenho Novo,Rio de Janeiro,norte
810,32,1,0,1,200,0,Irajá,Rio de Janeiro,norte
8500,60,1,1,1,0,0,Leblon,Rio de Janeiro,sul
700,46,2,1,1,360,25,Guadalupe,Rio de Janeiro,norte
800,45,1,0,1,0,0,Penha Circular,Rio de Janeiro,norte
1150,60,2,1,1,50,0,Engenho De Dentro,Rio de Janeiro,norte
2100,78,3,1,2,953,105,Vila Isabel,Rio de Janeiro,norte
1260,50,2,0,1,400,53,Cachambi,Rio de Janeiro,norte
1500,65,2,1,1,200,30,Tanque,Rio de Janeiro,oeste
3400,140,2,0,2,930,317,Copacabana,Rio de Janeiro,sul
1738,83,2,1,2,800,53,Pechincha,Rio de Janeiro,oeste
1290,50,2,1,1,258,0,Cacuia,Rio de Janeiro,norte
5000,100,3,1,1,1220,150,Flamengo,Rio de Janeiro,sul
2400,120,3,2,3,200,200,Tanque,Rio de Janeiro,oeste
1050,85,3,2,2,610,0,Penha Circular,Rio de Janeiro,norte
1200,67,3,1,1,700,0,Catumbi,Rio de Janeiro,centro
3500,100,3,0,1,1803,355,Ipanema, Rio de Janeiro,sul
7700,300,4,4,5,0,200,Vargem Pequena,Rio de Janeiro,oeste
2950,80,2,0,1,300,150,Humaitá,Rio de Janeiro,sul
1200,67,3,1,1,700,0,Catumbi,Rio de Janeiro,centro
1200,59,2,1,1,785,61,Pechincha,Rio de Janeiro,oeste
1200,60,2,0,2,150,350,Piedade,Rio de Janeiro,norte
2430,110,3,1,3,960,225,Andaraí,Rio de Janeiro,norte
1600,63,3,1,1,200,0,Penha,Rio de Janeiro,norte
1300,54,1,0,1,0,0,Pilares,Rio de Janeiro,norte
1200,130,2,0,1,0,0,Campo Grande,Rio de Janeiro,oeste
5000,240,3,2,3,1400,250,Maracanã,Rio de Janeiro,norte
1500,70,3,0,1,260,0,Pilares,Rio de Janeiro,norte
